file,name,kind,startLine,endLine,length
extensions/vscode-foundation/src/commands/runRefactor.ts,"runRefactorCommand",FunctionDeclaration,23,64,42
extensions/vscode-foundation/src/commands/runRefactor.ts,"<inline>",ArrowFunction,40,40,1
extensions/vscode-foundation/src/commands/runRefactor.ts,"<inline>",ArrowFunction,41,41,1
extensions/vscode-foundation/src/commands/runRefactor.ts,"<inline>",ArrowFunction,42,63,22
extensions/vscode-foundation/src/commands/runRefactor.ts,"summarizePlan",FunctionDeclaration,66,80,15
extensions/vscode-foundation/src/commands/runRefactor.ts,"<inline>",ArrowFunction,69,69,1
extensions/vscode-foundation/src/commands/runRefactor.ts,"<inline>",ArrowFunction,76,76,1
extensions/vscode-foundation/src/extension.ts,"activate",FunctionDeclaration,7,15,9
extensions/vscode-foundation/src/extension.ts,"<inline>",ArrowFunction,10,12,3
extensions/vscode-foundation/src/extension.ts,"deactivate",FunctionDeclaration,17,17,1
extensions/vscode-foundation/src/participant/refactor.chat.ts,"registerRefactorChatParticipant",FunctionDeclaration,8,43,36
extensions/vscode-foundation/src/participant/refactor.chat.ts,"<inline>",ArrowFunction,17,40,24
extensions/vscode-foundation/src/participant/refactor.chat.ts,"runCli",FunctionDeclaration,45,58,14
extensions/vscode-foundation/src/participant/refactor.chat.ts,"<inline>",ArrowFunction,46,57,12
extensions/vscode-foundation/src/participant/refactor.chat.ts,"<inline>",ArrowFunction,50,50,1
extensions/vscode-foundation/src/participant/refactor.chat.ts,"<inline>",ArrowFunction,51,51,1
extensions/vscode-foundation/src/participant/refactor.chat.ts,"<inline>",ArrowFunction,53,56,4
extensions/vscode-foundation/src/participant/refactor.chat.ts,"formatPlan",FunctionDeclaration,60,75,16
extensions/vscode-foundation/src/participant/refactor.chat.ts,"<inline>",ArrowFunction,63,64,2
extensions/vscode-foundation/src/participant/refactor.chat.ts,"<inline>",ArrowFunction,71,71,1
packages/analyzer/src/cli.ts,"parseArgs",FunctionDeclaration,16,69,54
packages/analyzer/src/cli.ts,"printHelp",FunctionDeclaration,71,99,29
packages/analyzer/src/cli.ts,"getOutputPath",FunctionDeclaration,101,115,15
packages/analyzer/src/cli.ts,"getLevelIcon",FunctionDeclaration,117,121,5
packages/analyzer/src/cli.ts,"main",FunctionDeclaration,127,200,74
packages/analyzer/src/cli.ts,"<inline>",ArrowFunction,170,170,1
packages/analyzer/src/cli.ts,"<inline>",ArrowFunction,171,171,1
packages/analyzer/src/cli.ts,"<inline>",ArrowFunction,172,172,1
packages/analyzer/src/cli.ts,"<inline>",ArrowFunction,192,192,1
packages/analyzer/src/cli.ts,"printSummary",FunctionDeclaration,202,217,16
packages/analyzer/src/cli.ts,"<inline>",ArrowFunction,206,209,4
packages/analyzer/src/cli.ts,"printConsoleResults",FunctionDeclaration,219,260,42
packages/analyzer/src/cli.ts,"<inline>",ArrowFunction,230,234,5
